GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P013001,P013001.2000,P013002,P013002.2000,P013003,P013003.2000
06001400100,140,06,001,41860,488,,,Census Tract 4001,2937,1396,2498,1177,51.9,,51.7,,52.2,
06001400200,140,06,001,41860,488,,,Census Tract 4002,1974,915,1910,873,40.4,,40.8,,40.1,
06001400300,140,06,001,41860,488,,,Census Tract 4003,4865,2591,4878,2567,38.3,,38.1,,38.4,
06001400400,140,06,001,41860,488,,,Census Tract 4004,3703,1903,3659,1880,36.0,,35.8,,36.2,
06001400500,140,06,001,41860,488,,,Census Tract 4005,3517,1684,3410,1592,34.9,,35.7,,34.2,
06001400600,140,06,001,41860,488,,,Census Tract 4006,1571,757,1707,746,34.5,,34.0,,34.8,
06001400700,140,06,001,41860,488,,,Census Tract 4007,4206,1929,4451,1901,37.7,,37.6,,37.8,
06001400800,140,06,001,41860,488,,,Census Tract 4008,3594,1733,3368,1420,36.0,,35.6,,36.4,
06001400900,140,06,001,41860,488,,,Census Tract 4009,2302,1153,2456,1116,35.9,,35.1,,37.8,
06001401000,140,06,001,41860,488,,,Census Tract 4010,5678,2658,5397,2313,34.3,,33.7,,34.8,
06001402600,140,06,001,41860,488,,,Census Tract 4026,1151,656,977,506,45.9,,42.8,,48.0,
06001401100,140,06,001,41860,488,,,Census Tract 4011,4156,2147,4007,2039,32.9,,33.2,,32.6,
06001401200,140,06,001,41860,488,,,Census Tract 4012,2416,1296,2432,1237,37.1,,37.2,,37.0,
06001401300,140,06,001,41860,488,,,Census Tract 4013,3528,1839,2810,1454,39.3,,39.8,,38.8,
06001401400,140,06,001,41860,488,,,Census Tract 4014,4314,1764,4765,1681,34.0,,33.6,,34.3,
06001401500,140,06,001,41860,488,,,Census Tract 4015,2630,1244,2413,1026,37.8,,38.6,,36.7,
06001401600,140,06,001,41860,488,,,Census Tract 4016,2163,919,1933,668,31.0,,31.0,,30.9,
